locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType
339557,Kennedy_Inem_Kennedy,pm10,45.8,2023-02-02T03:33:12+00:00,2023-02-01T22:33:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T03:33:12+00:00,2023-02-01T22:33:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.88,2023-02-02T03:33:12+00:00,2023-02-01T22:33:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,24.8,2023-02-02T03:33:12+00:00,2023-02-01T22:33:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T03:33:12+00:00,2023-02-01T22:33:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,38,2023-02-02T03:33:12+00:00,2023-02-01T22:33:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,23.5,2023-02-02T03:31:12+00:00,2023-02-01T22:31:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,38,2023-02-02T03:31:12+00:00,2023-02-01T22:31:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T03:31:12+00:00,2023-02-01T22:31:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T03:31:12+00:00,2023-02-01T22:31:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.85,2023-02-02T03:31:12+00:00,2023-02-01T22:31:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,45.3,2023-02-02T03:31:12+00:00,2023-02-01T22:31:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,32.8,2023-02-02T03:03:12+00:00,2023-02-01T22:03:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T03:03:12+00:00,2023-02-01T22:03:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T03:03:12+00:00,2023-02-01T22:03:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,21.8,2023-02-02T03:03:12+00:00,2023-02-01T22:03:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.31,2023-02-02T03:03:12+00:00,2023-02-01T22:03:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,37.1,2023-02-02T03:03:12+00:00,2023-02-01T22:03:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T02:59:11+00:00,2023-02-01T21:59:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.46,2023-02-02T02:59:11+00:00,2023-02-01T21:59:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,34.4,2023-02-02T02:59:11+00:00,2023-02-01T21:59:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,39.8,2023-02-02T02:59:11+00:00,2023-02-01T21:59:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,22.8,2023-02-02T02:59:11+00:00,2023-02-01T21:59:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T02:59:11+00:00,2023-02-01T21:59:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T02:57:11+00:00,2023-02-01T21:57:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T02:57:11+00:00,2023-02-01T21:57:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,34.8,2023-02-02T02:57:11+00:00,2023-02-01T21:57:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,22.6,2023-02-02T02:57:11+00:00,2023-02-01T21:57:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.54,2023-02-02T02:57:11+00:00,2023-02-01T21:57:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,40.4,2023-02-02T02:57:11+00:00,2023-02-01T21:57:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.53,2023-02-02T02:51:11+00:00,2023-02-01T21:51:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,35.4,2023-02-02T02:51:11+00:00,2023-02-01T21:51:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T02:51:11+00:00,2023-02-01T21:51:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,42,2023-02-02T02:51:11+00:00,2023-02-01T21:51:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T02:51:11+00:00,2023-02-01T21:51:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,23.2,2023-02-02T02:51:11+00:00,2023-02-01T21:51:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,23.2,2023-02-02T02:49:11+00:00,2023-02-01T21:49:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,35.1,2023-02-02T02:49:11+00:00,2023-02-01T21:49:11-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T02:49:11+00:00,2023-02-01T21:49:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.49,2023-02-02T02:49:11+00:00,2023-02-01T21:49:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T02:49:11+00:00,2023-02-01T21:49:11-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
