locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType,dayOfWeek
339545,Tunjuelito_Cemex,pm25,23.1,2023-02-06T10:31:33+00:00,2023-02-06T05:31:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,6.8,2023-02-06T10:29:32+00:00,2023-02-06T05:29:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,4.7,2023-02-06T10:27:32+00:00,2023-02-06T05:27:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,7.6,2023-02-06T10:25:32+00:00,2023-02-06T05:25:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,7,2023-02-06T10:23:32+00:00,2023-02-06T05:23:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,6.1,2023-02-06T10:21:32+00:00,2023-02-06T05:21:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,7.7,2023-02-06T10:19:31+00:00,2023-02-06T05:19:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,19.6,2023-02-06T10:17:31+00:00,2023-02-06T05:17:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,26.8,2023-02-06T10:15:31+00:00,2023-02-06T05:15:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,25.4,2023-02-06T10:13:31+00:00,2023-02-06T05:13:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,15.6,2023-02-06T10:11:31+00:00,2023-02-06T05:11:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,13.3,2023-02-06T10:09:31+00:00,2023-02-06T05:09:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,12,2023-02-06T10:07:31+00:00,2023-02-06T05:07:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,41,2023-02-06T10:05:31+00:00,2023-02-06T05:05:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,7.1,2023-02-06T10:03:31+00:00,2023-02-06T05:03:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,58,2023-02-06T10:01:31+00:00,2023-02-06T05:01:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,33.4,2023-02-06T09:59:31+00:00,2023-02-06T04:59:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,21.5,2023-02-06T09:57:31+00:00,2023-02-06T04:57:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,4.2,2023-02-06T09:55:31+00:00,2023-02-06T04:55:31-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
