locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
222263,"SALITRE","pm10",14.2,"2023-03-15T22:59:11+00:00","2023-03-15T17:59:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T22:59:11+00:00","2023-03-15T17:59:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.65,"2023-03-15T22:59:11+00:00","2023-03-15T17:59:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13,"2023-03-15T22:57:10+00:00","2023-03-15T17:57:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T22:57:10+00:00","2023-03-15T17:57:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T22:57:10+00:00","2023-03-15T17:57:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.2,"2023-03-15T22:57:10+00:00","2023-03-15T17:57:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",13.9,"2023-03-15T22:57:10+00:00","2023-03-15T17:57:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.62,"2023-03-15T22:57:10+00:00","2023-03-15T17:57:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",9.8,"2023-03-15T22:55:11+00:00","2023-03-15T17:55:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",13.7,"2023-03-15T22:55:11+00:00","2023-03-15T17:55:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T22:55:11+00:00","2023-03-15T17:55:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.63,"2023-03-15T22:55:11+00:00","2023-03-15T17:55:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T22:55:11+00:00","2023-03-15T17:55:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",12.7,"2023-03-15T22:55:11+00:00","2023-03-15T17:55:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",9.3,"2023-03-15T22:53:11+00:00","2023-03-15T17:53:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.58,"2023-03-15T22:53:11+00:00","2023-03-15T17:53:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",11.9,"2023-03-15T22:53:11+00:00","2023-03-15T17:53:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T22:53:11+00:00","2023-03-15T17:53:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T22:53:11+00:00","2023-03-15T17:53:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",12.8,"2023-03-15T22:53:11+00:00","2023-03-15T17:53:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.04,"2023-03-15T22:49:10+00:00","2023-03-15T17:49:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.75,"2023-03-15T22:49:10+00:00","2023-03-15T17:49:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T22:49:10+00:00","2023-03-15T17:49:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",18,"2023-03-15T22:49:10+00:00","2023-03-15T17:49:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",14.7,"2023-03-15T22:49:10+00:00","2023-03-15T17:49:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",18.4,"2023-03-15T22:49:10+00:00","2023-03-15T17:49:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T22:45:10+00:00","2023-03-15T17:45:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.63,"2023-03-15T22:45:10+00:00","2023-03-15T17:45:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.5,"2023-03-15T22:45:10+00:00","2023-03-15T17:45:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",13.9,"2023-03-15T22:45:10+00:00","2023-03-15T17:45:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.1,"2023-03-15T22:45:10+00:00","2023-03-15T17:45:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T22:45:10+00:00","2023-03-15T17:45:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T22:43:10+00:00","2023-03-15T17:43:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.63,"2023-03-15T22:43:10+00:00","2023-03-15T17:43:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10,"2023-03-15T22:43:10+00:00","2023-03-15T17:43:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",13.5,"2023-03-15T22:43:10+00:00","2023-03-15T17:43:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.02,"2023-03-15T22:43:10+00:00","2023-03-15T17:43:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",12.8,"2023-03-15T22:43:10+00:00","2023-03-15T17:43:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T22:41:11+00:00","2023-03-15T17:41:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.2,"2023-03-15T22:41:11+00:00","2023-03-15T17:41:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.69,"2023-03-15T22:41:11+00:00","2023-03-15T17:41:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",9.7,"2023-03-15T22:41:11+00:00","2023-03-15T17:41:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.04,"2023-03-15T22:41:11+00:00","2023-03-15T17:41:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",14.1,"2023-03-15T22:41:11+00:00","2023-03-15T17:41:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",9.7,"2023-03-15T22:39:10+00:00","2023-03-15T17:39:10-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.68,"2023-03-15T22:39:10+00:00","2023-03-15T17:39:10-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
